country,region,percent_forest_area
Nauru,East Asia & Pacific,
Kosovo,Europe & Central Asia,
South Sudan,Sub-Saharan Africa,
"Macao SAR, China",East Asia & Pacific,
St. Martin (French part),Latin America & Caribbean,
Monaco,Europe & Central Asia,
"Hong Kong SAR, China",East Asia & Pacific,
Sudan,Sub-Saharan Africa,
Curacao,Latin America & Caribbean,
Sint Maarten (Dutch part),Latin America & Caribbean,
Qatar,Middle East & North Africa,
Gibraltar,Europe & Central Asia,
San Marino,Europe & Central Asia,
Suriname,Latin America & Caribbean,98.2576939676578
"Micronesia, Fed. Sts.",East Asia & Pacific,91.85723907152479
Gabon,Sub-Saharan Africa,90.0376418700565
Seychelles,Sub-Saharan Africa,88.41113673857889
Palau,East Asia & Pacific,87.60680854912036
American Samoa,East Asia & Pacific,87.5000875000875
Guyana,Latin America & Caribbean,83.90144891106817
Lao PDR,East Asia & Pacific,82.10823176408609
Solomon Islands,East Asia & Pacific,77.86351779450665
Papua New Guinea,East Asia & Pacific,74.09839549312474
Finland,Europe & Central Asia,73.10716885143357
Bhutan,South Asia,72.48455026019445
Brunei Darussalam,East Asia & Pacific,72.1062276535922
Marshall Islands,East Asia & Pacific,70.220273547957
Guinea-Bissau,Sub-Saharan Africa,69.77242234409408
St. Vincent and the Grenadines,Latin America & Caribbean,69.23037870042783
Sweden,Europe & Central Asia,68.92293263078935
Japan,East Asia & Pacific,68.45622069060717
Malaysia,East Asia & Pacific,67.59762454563567
"Congo, Dem. Rep.",Sub-Saharan Africa,67.1650796646444
"Congo, Rep.",Sub-Saharan Africa,65.3546117824367
Zambia,Sub-Saharan Africa,65.19915221949277
Northern Mariana Islands,East Asia & Pacific,63.781236338609226
"Korea, Rep.",East Asia & Pacific,63.35483993780608
Slovenia,Europe & Central Asia,61.970042165198805
Panama,Latin America & Caribbean,61.88593665861658
Montenegro,Europe & Central Asia,61.48699113334539
Samoa,East Asia & Pacific,60.42425459261438
Belize,Latin America & Caribbean,59.67908808243997
Brazil,Latin America & Caribbean,58.93105405808073
Peru,Latin America & Caribbean,57.66046802226492
Dominica,Latin America & Caribbean,57.41240125160631
Puerto Rico,Latin America & Caribbean,56.28636659695639
Fiji,East Asia & Pacific,55.94201343137062
Sao Tome and Principe,Sub-Saharan Africa,55.83278504356311
Equatorial Guinea,Sub-Saharan Africa,55.486610507829106
Costa Rica,Latin America & Caribbean,54.567163049441646
Latvia,Europe & Central Asia,53.97877424717959
Cayman Islands,Latin America & Caribbean,52.91900313097162
Cambodia,East Asia & Pacific,52.852932416390054
"Venezuela, RB",Latin America & Caribbean,52.73918820191524
Colombia,Latin America & Caribbean,52.70393808800673
